iter	Passed	Remaining
402	10321	15289
403	10344	15260
404	10366	15229
405	10391	15203
406	10415	15175
407	10440	15148
408	10464	15120
409	10488	15092
410	10511	15063
411	10535	15035
412	10559	15007
413	10582	14979
414	10606	14951
415	10630	14922
416	10655	14896
417	10678	14868
418	10702	14840
419	10726	14812
420	10749	14783
421	10772	14754
422	10795	14725
423	10818	14697
424	10842	14668
425	10865	14640
426	10889	14612
427	10914	14587
428	10939	14560
429	10962	14532
430	10986	14504
431	11010	14477
432	11036	14451
433	11058	14422
434	11083	14395
435	11106	14367
436	11131	14340
437	11155	14313
438	11179	14285
439	11203	14258
440	11226	14230
441	11250	14202
442	11273	14174
443	11297	14146
444	11319	14118
445	11342	14089
446	11367	14063
447	11390	14034
448	11413	14006
449	11437	13979
450	11461	13952
451	11484	13924
452	11507	13895
453	11532	13868
454	11556	13842
455	11580	13815
456	11603	13786
457	11627	13759
458	11651	13732
459	11674	13705
460	11699	13678
461	11722	13651
462	11746	13624
463	11769	13595
464	11793	13568
465	11816	13540
466	11840	13513
467	11863	13486
468	11887	13459
469	11911	13431
470	11935	13404
471	11959	13378
472	11983	13351
473	12007	13324
474	12030	13296
475	12052	13268
476	12077	13241
477	12101	13215
478	12124	13187
479	12148	13160
480	12171	13133
481	12194	13105
482	12219	13079
483	12243	13052
484	12267	13026
485	12290	12998
486	12316	12974
487	12341	12948
488	12364	12921
489	12388	12894
490	12412	12867
491	12436	12841
492	12461	12815
493	12484	12787
494	12508	12760
495	12533	12735
496	12558	12709
497	12581	12682
498	12607	12657
499	12633	12633
500	12662	12612
501	12699	12598
502	12731	12580
503	12757	12555
504	12780	12527
505	12805	12502
506	12832	12477
507	12858	12453
508	12882	12427
509	12906	12400
510	12933	12377
511	12959	12352
512	12984	12326
513	13009	12300
514	13035	12276
515	13060	12250
516	13087	12226
517	13111	12200
518	13139	12177
519	13178	12164
520	13211	12146
521	13239	12123
522	13265	12099
523	13293	12076
524	13322	12053
525	13349	12029
526	13376	12006
527	13404	11982
528	13431	11958
529	13462	11938
530	13492	11917
531	13521	11895
532	13555	11876
533	13595	11864
534	13636	11852
535	13671	11835
536	13704	11815
537	13733	11793
538	13758	11767
539	13786	11743
540	13812	11718
541	13837	11692
542	13862	11666
543	13886	11640
544	13911	11614
545	13937	11589
546	13963	11564
547	13988	11538
548	14017	11515
549	14045	11491
550	14070	11466
551	14098	11442
552	14125	11417
553	14152	11393
554	14180	11369
555	14209	11347
556	14236	11322
557	14264	11298
558	14290	11274
559	14319	11250
560	14349	11228
561	14378	11206
562	14405	11181
563	14433	11157
564	14459	11132
565	14484	11106
566	14512	11082
567	14541	11059
568	14566	11033
569	14592	11008
570	14619	10983
571	14648	10960
572	14677	10937
573	14704	10912
574	14731	10888
575	14759	10864
576	14786	10839
577	14812	10814
578	14837	10788
579	14863	10763
580	14891	10739
581	14943	10732
582	14994	10724
583	15033	10708
584	15061	10684
585	15091	10661
586	15118	10636
587	15146	10612
588	15173	10588
589	15200	10562
590	15228	10538
591	15255	10513
592	15280	10487
593	15308	10463
594	15337	10439
595	15363	10414
596	15392	10390
597	15419	10365
598	15444	10339
599	15471	10314
600	15496	10288
601	15521	10261
602	15551	10238
603	15579	10214
604	15604	10187
605	15631	10163
606	15657	10137
607	15684	10112
608	15708	10085
609	15735	10060
610	15762	10035
611	15790	10010
612	15816	9985
613	15841	9959
614	15868	9934
615	15894	9908
616	15918	9881
617	15944	9855
618	15970	9830
619	15996	9804
620	16023	9779
621	16049	9753
622	16073	9726
623	16099	9701
624	16126	9675
625	16152	9650
626	16177	9623
627	16204	9598
628	16230	9573
629	16255	9546
630	16280	9520
631	16304	9493
632	16329	9467
633	16355	9441
634	16382	9416
635	16408	9391
636	16433	9364
637	16460	9339
638	16486	9313
639	16513	9288
640	16541	9264
641	16567	9238
642	16593	9212
643	16619	9187
644	16647	9162
645	16675	9137
646	16698	9110
647	16724	9085
648	16751	9059
649	16777	9033
650	16800	9006
651	16828	8982
652	16856	8957
653	16882	8931
654	16914	8909
655	16941	8884
656	16966	8857
657	16992	8831
658	17018	8806
659	17045	8780
660	17072	8755
661	17098	8730
662	17125	8704
663	17154	8680
664	17180	8655
665	17208	8630
666	17234	8604
667	17258	8577
668	17284	8551
669	17310	8526
670	17338	8501
671	17365	8476
672	17391	8450
673	17418	8425
674	17445	8399
675	17469	8373
676	17494	8346
677	17519	8320
678	17545	8294
679	17570	8268
680	17596	8242
681	17621	8216
682	17647	8190
683	17675	8165
684	17700	8139
685	17724	8113
686	17750	8087
687	17775	8060
688	17801	8035
689	17826	8008
690	17851	7982
691	17875	7956
692	17900	7930
693	17925	7903
694	17950	7877
695	17974	7851
696	18001	7825
697	18026	7799
698	18051	7773
699	18076	7747
700	18102	7721
701	18128	7695
702	18153	7669
703	18179	7643
704	18204	7617
705	18229	7591
706	18254	7565
707	18279	7538
708	18305	7513
709	18333	7488
710	18361	7463
711	18387	7437
712	18413	7411
713	18437	7385
714	18464	7359
715	18490	7334
716	18515	7308
717	18541	7282
718	18566	7256
719	18591	7229
720	18617	7204
721	18642	7178
722	18668	7152
723	18695	7126
724	18720	7100
